date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:26	8449/8449	---MCZ	200	added ('OK')	application/javascript	etag:W/%222101-4e13a1fe07880%22	http://tattek.sk/minimal/frontpage/assets/js/vendor/tweet-js/jquery.tweet.min.js	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/vendor/tweet-js/jquery.tweet.min.js	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:26	3461/3461	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d85-4fa714a8f5b00%22	http://tattek.sk/minimal/frontpage/assets/js/vendor/vticker/jquery.vticker.min.js	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/vendor/vticker/jquery.vticker.min.js	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:26	1731/1731	---MCZ	200	added ('OK')	application/javascript	etag:W/%226c3-4816f7b21ac80%22	http://tattek.sk/minimal/frontpage/assets/js/vendor/jflickrfeed/jflickrfeed.min.js	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/vendor/jflickrfeed/jflickrfeed.min.js	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:27	4379/4379	---MCZ	200	added ('OK')	application/javascript	etag:W/%22111b-4fb114e44f340%22	http://tattek.sk/minimal/frontpage/assets/js/vendor/appear/jquery.appear.js	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/vendor/appear/jquery.appear.js	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:27	1839/1839	---MCZ	200	added ('OK')	application/javascript	etag:W/%2272f-4fb114e44f340%22	http://tattek.sk/minimal/frontpage/assets/js/vendor/parallax/jquery.parallax-1.1.3.js	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/vendor/parallax/jquery.parallax-1.1.3.js	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:27	4796/4796	---MCZ	200	added ('OK')	application/javascript	etag:W/%2212bc-503cac1211080%22	http://tattek.sk/minimal/frontpage/assets/js/minimal.min.js	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/js/minimal.min.js	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:28	0/0	---M--	200	added ('OK')	text/html	date:Fri,%2019%20Apr%202019%2011:59:27%20GMT	http://tattek.sk/minimal/assets/js/vendor/datatables/colvis/dataTables.ColVis.min.js	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/datatables/colvis/dataTables.ColVis.min-2.js	(from http://tattek.sk/minimal/mail-horizontal.html)
12:59:29	716/716	---MCZ	200	added ('OK')	text/css	etag:W/%222cc-4d3bdd7b3b100%22	http://tattek.sk/minimal/assets/js/vendor/jvectormaps/css/jquery-jvectormap-1.2.2.css	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/jvectormaps/css/jquery-jvectormap-1.2.2.css	(from http://tattek.sk/minimal/vector-maps.html)
12:59:29	2751/2751	---MCZ	200	added ('OK')	application/javascript	etag:W/%22abf-4e2b76a96c180%22	http://tattek.sk/minimal/assets/js/vendor/jvectormaps/addons/gdp-data.js	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/jvectormaps/addons/gdp-data.js	(from http://tattek.sk/minimal/vector-maps.html)
12:59:30	420094/420094	---M--	200	added ('OK')	image/jpeg	etag:%22668fe-4fa605a70f800%22	http://tattek.sk/minimal/frontpage/assets/images/projects/minimal.jpg	C:/pfe/pfe/tattek.sk/minimal/frontpage/assets/images/projects/minimal.jpg	(from http://tattek.sk/minimal/frontpage/index.html)
12:59:30	33323/33323	---MCZ	200	added ('OK')	application/javascript	etag:W/%22822b-4d3bdd7b3b100%22	http://tattek.sk/minimal/assets/js/vendor/jvectormaps/jquery-jvectormap-1.2.2.min.js	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/jvectormaps/jquery-jvectormap-1.2.2.min.js	(from http://tattek.sk/minimal/vector-maps.html)
12:59:35	72713/72713	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211c09-4e2ba03007a40%22	http://tattek.sk/minimal/assets/js/vendor/jvectormaps/addons/jquery-jvectormap-de-merc-en.js	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/jvectormaps/addons/jquery-jvectormap-de-merc-en.js	(from http://tattek.sk/minimal/vector-maps.html)
12:59:37	112067/112067	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b5c3-4e2b929be3100%22	http://tattek.sk/minimal/assets/js/vendor/jvectormaps/addons/jquery-jvectormap-us-aea-en.js	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/jvectormaps/addons/jquery-jvectormap-us-aea-en.js	(from http://tattek.sk/minimal/vector-maps.html)
12:59:37	144313/144313	---MCZ	200	added ('OK')	application/javascript	etag:W/%22233b9-4e2b76f3cf100%22	http://tattek.sk/minimal/assets/js/vendor/jvectormaps/addons/jquery-jvectormap-world-mill-en.js	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/jvectormaps/addons/jquery-jvectormap-world-mill-en.js	(from http://tattek.sk/minimal/vector-maps.html)
12:59:39	4067/4067	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fe3-4e2c9e54a5380%22	http://tattek.sk/minimal/assets/js/vendor/gmaps/jquery.ui.map.full.min.js	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/gmaps/jquery.ui.map.full.min.js	(from http://tattek.sk/minimal/google-maps.html)
12:59:39	59903/59903	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e9ff-4e2ba3ed84d40%22	http://tattek.sk/minimal/assets/js/vendor/jvectormaps/addons/jquery-jvectormap-es-merc-en.js	C:/pfe/pfe/tattek.sk/minimal/assets/js/vendor/jvectormaps/addons/jquery-jvectormap-es-merc-en.js	(from http://tattek.sk/minimal/vector-maps.html)
